"VEREN KURUM","SERTİFİKA ADI","TARİH","ID/URL"
"Sermaye Piyasası Kurulu","Türev Araçlar Lisansı","2026/02","ID/URL"
"Sermaye Piyasası Kurulu","Sermaye Piyasası Faaliyetleri Düzey 1 Lisansı (SPL)","2025/09","ID/URL"
"McKinsey & Company","Take a Step Forward","2025/07","ID/URL"
"Bloomberg","Bloomberg Finance Fundamentals (BFF)","2025/03","ID/URL"
"Bloomberg","Bloomberg Market Concepts (BMC)","2025/03","ID/URL"
"Bloomberg","Environmental Social Governance (ESG)","2025/03","ID/URL"
"Blockchain Council","Certified Web3 Expert (CW3E™)","2024/01","ID/URL"
"Digital Assets Council of Financial Professionals","Certified in Blockchain and Digital Assets (CBDA℠)","2023/07","ID/URL"
"BTK Akademi","Blokzincir ve Kripto Paralar","2023/04","ID/URL"
"BTK Akademi","Blockchain Teknolojisi","2022/01","ID/URL"
"Boğaziçi Üniversitesi","Blokzincir Eğitimi","2021/11","ID/URL"
"Young Executive Academy","Certificate of Executive","2021/11","ID/URL"
